Result1, Result2,   Result3,   Result
70.00,         892.00,         3212.00,         3
40.00,         3362.00,         2819.00,         3
9.00,         4313.00,         3043.00,         3
42.00,         4170.00,         1824.00,         3
3.00,         4028.00,         2366.00,         3
28.00,         3140.00,         1554.00,         3
7.00,         2471.00,         3862.00,         3
63.00,         190.00,         4211.00,         3
46.00,         2727.00,         1614.00,         3
6.00,         507.00,         1456.00,         2
1.00,         1231.00,         4079.00,         2
19.00,         1603.00,         2390.00,         2
20.00,         697.00,         707.00,         2
40.00,         3980.00,         3833.00,         2
66.00,         1325.00,         3675.00,         2
5.00,         893.00,         2292.00,         3
52.00,         3781.00,         4141.00,         3
13.00,         2749.00,         2151.00,         3
46.00,         3693.00,         4458.00,         3
11.00,         1385.00,         2820.00,         3
58.00,         3232.00,         3035.00,         3
45.00,         75.00,         2903.00,         3
12.00,         1257.00,         4486.00,         3
69.00,         3275.00,         994.00,         3
34.00,         3108.00,         1803.00,         3
16.00,         1207.00,         1417.00,         3
39.00,         1199.00,         498.00,         3
38.00,         3554.00,         4347.00,         3
46.00,         1565.00,         24.00,         2
17.00,         2259.00,         3969.00,         2
64.00,         1998.00,         3585.00,         2
64.00,         2687.00,         1677.00,         2
41.00,         3087.00,         2821.00,         2
55.00,         62.00,         1335.00,         2
14.00,         787.00,         1134.00,         2
2.00,         23.00,         3329.00,         3
15.00,         1335.00,         337.00,         3
71.00,         3385.00,         2121.00,         3
13.00,         747.00,         3768.00,         3
66.00,         3802.00,         1987.00,         3
39.00,         3153.00,         1615.00,         3
37.00,         2397.00,         4183.00,         3
67.00,         424.00,         2371.00,         3
12.00,         324.00,         1575.00,         2
17.00,         545.00,         469.00,         2
75.00,         1966.00,         2626.00,         2
40.00,         1943.00,         485.00,         2
39.00,         7.00,         2359.00,         3
39.00,         3850.00,         4065.00,         3
45.00,         2156.00,         760.00,         3
67.00,         516.00,         1448.00,         2
68.00,         2958.00,         3148.00,         2
19.00,         407.00,         1058.00,         2
77.00,         4307.00,         3111.00,         2
60.00,         1554.00,         4409.00,         2
21.00,         1359.00,         2886.00,         2
54.00,         3509.00,         3677.00,         2
62.00,         2571.00,         3645.00,         2
23.00,         3113.00,         1348.00,         2
78.00,         3966.00,         2298.00,         2
72.00,         2762.00,         2688.00,         2
37.00,         436.00,         2807.00,         3
9.00,         199.00,         318.00,         1
37.00,         976.00,         3715.00,         3
57.00,         4016.00,         4070.00,         3
56.00,         1827.00,         2859.00,         3
76.00,         34.00,         3522.00,         3
27.00,         2875.00,         3934.00,         3
74.00,         1936.00,         2709.00,         3
59.00,         869.00,         1743.00,         2
63.00,         3802.00,         1483.00,         2
75.00,         4088.00,         1878.00,         2
41.00,         1979.00,         757.00,         2
8.00,         3365.00,         1944.00,         2
72.00,         3812.00,         2660.00,         2
11.00,         3570.00,         1295.00,         2
27.00,         2990.00,         3367.00,         2
67.00,         34.00,         3674.00,         3
0.00,         2342.00,         1672.00,         3
12.00,         1514.00,         4142.00,         3
77.00,         2241.00,         4229.00,         3
0.00,         1813.00,         3073.00,         3
7.00,         2431.00,         473.00,         3
63.00,         795.00,         1137.00,         2
77.00,         1096.00,         4002.00,         2
23.00,         1699.00,         713.00,         2
27.00,         1962.00,         3557.00,         2
14.00,         1006.00,         1033.00,         2
46.00,         3362.00,         1522.00,         2
42.00,         2304.00,         2339.00,         2
11.00,         14.00,         1395.00,         2
15.00,         2747.00,         1829.00,         2
58.00,         3454.00,         1512.00,         2
13.00,         2212.00,         3653.00,         2
9.00,         4086.00,         3870.00,         2
37.00,         2539.00,         2782.00,         2
75.00,         2431.00,         112.00,         3
15.00,         1264.00,         4100.00,         3
58.00,         4320.00,         2451.00,         3
79.00,         2524.00,         1844.00,         3
70.00,         2521.00,         4253.00,         3
25.00,         251.00,         2096.00,         3
29.00,         2915.00,         1049.00,         3
9.00,         3634.00,         493.00,         3
13.00,         2338.00,         2338.00,         3
55.00,         2079.00,         1645.00,         3
46.00,         4356.00,         2034.00,         3
56.00,         421.00,         1245.00,         2
79.00,         2451.00,         1749.00,         2
21.00,         218.00,         3675.00,         3
28.00,         2651.00,         2589.00,         3
55.00,         3075.00,         429.00,         3
12.00,         265.00,         1130.00,         2
71.00,         4378.00,         964.00,         3
2.00,         1244.00,         3594.00,         3
27.00,         1019.00,         3117.00,         3
4.00,         2035.00,         1776.00,         3
25.00,         798.00,         723.00,         3
60.00,         649.00,         4229.00,         3
56.00,         1176.00,         182.00,         2
13.00,         3926.00,         693.00,         3
36.00,         1810.00,         2743.00,         3
32.00,         801.00,         264.00,         1
31.00,         3766.00,         2347.00,         1
32.00,         3441.00,         1166.00,         1
48.00,         2271.00,         3717.00,         1
34.00,         1723.00,         81.00,         2
17.00,         2346.00,         747.00,         3
68.00,         1090.00,         3334.00,         3
35.00,         1515.00,         4106.00,         3
68.00,         1602.00,         2046.00,         3
40.00,         3152.00,         2603.00,         3
28.00,         3876.00,         2255.00,         3
4.00,         964.00,         121.00,         1
21.00,         1269.00,         711.00,         1
50.00,         1937.00,         4228.00,         1
71.00,         1328.00,         1913.00,         1
60.00,         207.00,         2271.00,         3
79.00,         1931.00,         1799.00,         3
60.00,         1455.00,         3704.00,         3
16.00,         3765.00,         3001.00,         3
32.00,         2524.00,         4420.00,         3
43.00,         428.00,         385.00,         3
11.00,         3147.00,         2838.00,         3
64.00,         2714.00,         2135.00,         3
49.00,         3361.00,         196.00,         3
49.00,         2592.00,         2449.00,         3
53.00,         2354.00,         4489.00,         3
37.00,         2510.00,         1826.00,         3
71.00,         2064.00,         595.00,         3
51.00,         866.00,         1255.00,         2
20.00,         3861.00,         2502.00,         2
40.00,         62.00,         355.00,         1
77.00,         4258.00,         1370.00,         1
41.00,         3107.00,         3433.00,         1
66.00,         119.00,         3961.00,         3
29.00,         1983.00,         1351.00,         3
32.00,         3016.00,         2378.00,         3
10.00,         884.00,         1741.00,         2
45.00,         1700.00,         1337.00,         2
33.00,         2003.00,         2760.00,         2
52.00,         3874.00,         4188.00,         2
42.00,         1500.00,         1644.00,         2
37.00,         1217.00,         463.00,         2
16.00,         2311.00,         455.00,         3
39.00,         658.00,         3129.00,         3
55.00,         4312.00,         1485.00,         3
24.00,         1426.00,         1266.00,         3
16.00,         4450.00,         4468.00,         3
58.00,         36.00,         4354.00,         3
39.00,         1031.00,         1714.00,         3
19.00,         4401.00,         1806.00,         3
15.00,         643.00,         235.00,         1
23.00,         1285.00,         2824.00,         1
5.00,         3305.00,         517.00,         3
69.00,         2055.00,         2128.00,         3
13.00,         1124.00,         576.00,         3
70.00,         373.00,         2043.00,         3
34.00,         4042.00,         4118.00,         3
5.00,         293.00,         3456.00,         3
41.00,         3103.00,         2602.00,         3
60.00,         3537.00,         1347.00,         3
37.00,         1777.00,         2338.00,         3
54.00,         2977.00,         177.00,         3
5.00,         1317.00,         4185.00,         3
52.00,         248.00,         3088.00,         3
9.00,         1116.00,         3046.00,         3
16.00,         2756.00,         302.00,         3
57.00,         1402.00,         3248.00,         3
58.00,         625.00,         1293.00,         2
17.00,         1751.00,         2965.00,         2
8.00,         180.00,         3245.00,         3
55.00,         3173.00,         2330.00,         3
73.00,         4006.00,         3436.00,         3
11.00,         3048.00,         914.00,         3
65.00,         3998.00,         1324.00,         3
0.00,         2377.00,         4028.00,         3
10.00,         2017.00,         2952.00,         3
19.00,         3868.00,         2031.00,         3
12.00,         1083.00,         1784.00,         3
79.00,         2235.00,         2919.00,         3
21.00,         2682.00,         2462.00,         3
70.00,         4221.00,         2375.00,         3
0.00,         25.00,         1187.00,         2
4.00,         991.00,         3877.00,         3
2.00,         103.00,         3791.00,         3
52.00,         4020.00,         1331.00,         3
1.00,         400.00,         2870.00,         3
48.00,         2117.00,         250.00,         3
16.00,         3914.00,         474.00,         3
14.00,         3606.00,         3362.00,         3
42.00,         2844.00,         271.00,         3
10.00,         378.00,         2688.00,         3
60.00,         3759.00,         1556.00,         3
0.00,         4149.00,         4269.00,         3
13.00,         4480.00,         204.00,         3
18.00,         663.00,         1351.00,         2
41.00,         3872.00,         913.00,         3
76.00,         830.00,         924.00,         3
10.00,         1571.00,         3223.00,         3
20.00,         289.00,         932.00,         1
65.00,         1547.00,         2237.00,         1
61.00,         2481.00,         2998.00,         1
16.00,         3628.00,         2509.00,         1
68.00,         1262.00,         2522.00,         1
55.00,         1678.00,         3370.00,         1
27.00,         2.00,         1751.00,         2
8.00,         2805.00,         1106.00,         2
64.00,         1581.00,         1705.00,         2
6.00,         249.00,         1498.00,         2
62.00,         1114.00,         2887.00,         2
75.00,         2723.00,         779.00,         3
43.00,         816.00,         321.00,         3
72.00,         2298.00,         2998.00,         3
67.00,         1272.00,         1488.00,         3
62.00,         1454.00,         753.00,         3
58.00,         440.00,         25.00,         1
10.00,         1190.00,         827.00,         1
76.00,         4128.00,         3833.00,         1
75.00,         3532.00,         906.00,         3
32.00,         3174.00,         2389.00,         3
49.00,         748.00,         3511.00,         3
25.00,         1228.00,         3297.00,         3
53.00,         2704.00,         410.00,         3
29.00,         2291.00,         2858.00,         3
46.00,         3858.00,         1438.00,         3
29.00,         3240.00,         3300.00,         3
67.00,         682.00,         1567.00,         2
66.00,         2346.00,         3711.00,         2
35.00,         1057.00,         3280.00,         2
47.00,         1903.00,         1635.00,         2
24.00,         1939.00,         764.00,         2
71.00,         2854.00,         696.00,         3
66.00,         658.00,         3140.00,         3
53.00,         2066.00,         2232.00,         3
39.00,         2998.00,         1512.00,         3
59.00,         3407.00,         1367.00,         3
29.00,         3073.00,         3757.00,         3
27.00,         1777.00,         3314.00,         3
11.00,         3534.00,         2092.00,         3
44.00,         3485.00,         4297.00,         3
73.00,         2781.00,         2046.00,         3
47.00,         750.00,         4054.00,         3
67.00,         4056.00,         869.00,         3
63.00,         892.00,         4003.00,         3
52.00,         394.00,         3447.00,         3
19.00,         3593.00,         2631.00,         3
72.00,         1500.00,         3835.00,         3
32.00,         3332.00,         4499.00,         3
30.00,         1314.00,         367.00,         3
76.00,         2245.00,         3769.00,         3
25.00,         4139.00,         649.00,         3
4.00,         108.00,         3134.00,         3
17.00,         3691.00,         4423.00,         3
15.00,         3630.00,         665.00,         3
3.00,         507.00,         4100.00,         3
36.00,         2604.00,         1095.00,         3
49.00,         1349.00,         1853.00,         3
32.00,         3217.00,         2221.00,         3
35.00,         3665.00,         3593.00,         3
5.00,         3559.00,         2420.00,         3
47.00,         695.00,         1445.00,         2
30.00,         3154.00,         4064.00,         2
48.00,         2501.00,         2407.00,         2
38.00,         2075.00,         614.00,         3
53.00,         2585.00,         3862.00,         3
37.00,         3253.00,         2121.00,         3
19.00,         2060.00,         1044.00,         3
7.00,         2635.00,         4125.00,         3
13.00,         2836.00,         4216.00,         3
69.00,         3113.00,         3438.00,         3
5.00,         2046.00,         2191.00,         3
42.00,         2433.00,         429.00,         3
36.00,         511.00,         1681.00,         2
27.00,         680.00,         3726.00,         3
22.00,         3101.00,         2510.00,         3
22.00,         2545.00,         3030.00,         3
25.00,         1845.00,         1327.00,         3
50.00,         181.00,         282.00,         1
27.00,         2507.00,         3362.00,         1
32.00,         2253.00,         3012.00,         1
66.00,         2556.00,         1448.00,         1
60.00,         1365.00,         1558.00,         1
67.00,         4343.00,         3618.00,         1
72.00,         831.00,         360.00,         1
25.00,         1651.00,         3022.00,         1
65.00,         4450.00,         48.00,         3
77.00,         3498.00,         2872.00,         3
18.00,         3765.00,         2399.00,         3
5.00,         769.00,         1181.00,         2
57.00,         174.00,         2021.00,         3
54.00,         1665.00,         3552.00,         3
27.00,         499.00,         2503.00,         3
26.00,         2860.00,         4085.00,         3
6.00,         3826.00,         992.00,         3
78.00,         3793.00,         35.00,         3
25.00,         807.00,         4203.00,         3
41.00,         3287.00,         2276.00,         3
56.00,         4180.00,         293.00,         3
21.00,         1502.00,         576.00,         3
28.00,         2294.00,         632.00,         3
46.00,         2288.00,         3581.00,         3
42.00,         2005.00,         4296.00,         3
12.00,         3198.00,         3640.00,         3
28.00,         452.00,         2033.00,         3
10.00,         1081.00,         3715.00,         3
55.00,         207.00,         270.00,         1
72.00,         2125.00,         380.00,         3
23.00,         438.00,         2681.00,         3
60.00,         2799.00,         3166.00,         3
71.00,         283.00,         3879.00,         3
74.00,         3017.00,         1100.00,         3
59.00,         1672.00,         1293.00,         3
77.00,         3464.00,         2866.00,         3
77.00,         2186.00,         450.00,         3
22.00,         3454.00,         3944.00,         3
73.00,         1449.00,         4199.00,         3
51.00,         563.00,         796.00,         3
51.00,         4095.00,         2532.00,         3
60.00,         1934.00,         2082.00,         3
42.00,         2895.00,         2669.00,         3
16.00,         2781.00,         542.00,         3
28.00,         1443.00,         957.00,         3
43.00,         2354.00,         4481.00,         3
77.00,         818.00,         546.00,         3
20.00,         1218.00,         2450.00,         3
18.00,         1591.00,         2040.00,         3
32.00,         1529.00,         2929.00,         3
48.00,         14.00,         2976.00,         3
70.00,         4097.00,         465.00,         3
29.00,         1973.00,         4182.00,         3
49.00,         3460.00,         2130.00,         3
29.00,         1769.00,         934.00,         3
2.00,         1409.00,         3996.00,         3
47.00,         1149.00,         932.00,         3
61.00,         40.00,         2968.00,         3
36.00,         2191.00,         1928.00,         3
58.00,         2902.00,         1123.00,         3
65.00,         2996.00,         1578.00,         3
69.00,         2634.00,         2946.00,         3
8.00,         3474.00,         1118.00,         3
58.00,         3935.00,         1621.00,         3
51.00,         1770.00,         4094.00,         3
76.00,         3254.00,         829.00,         3
57.00,         700.00,         3315.00,         3
59.00,         4200.00,         1231.00,         3
76.00,         22.00,         2752.00,         3
75.00,         4172.00,         3642.00,         3
5.00,         405.00,         4075.00,         3
62.00,         4299.00,         193.00,         3
63.00,         3931.00,         2498.00,         3
54.00,         381.00,         103.00,         1
66.00,         3977.00,         3414.00,         1
2.00,         2615.00,         3576.00,         1
2.00,         1337.00,         4268.00,         1
34.00,         1854.00,         2488.00,         1
49.00,         120.00,         588.00,         1
7.00,         2070.00,         4386.00,         1
58.00,         3470.00,         812.00,         3
16.00,         1859.00,         3756.00,         3
51.00,         2993.00,         1066.00,         3
53.00,         1647.00,         2059.00,         3
35.00,         1452.00,         2675.00,         3
22.00,         2147.00,         683.00,         3
56.00,         2351.00,         2889.00,         3
50.00,         3662.00,         2332.00,         3
19.00,         15.00,         2599.00,         3
47.00,         2328.00,         2166.00,         3
5.00,         1383.00,         4087.00,         3
41.00,         3547.00,         1656.00,         3
61.00,         2325.00,         2374.00,         3
53.00,         3207.00,         115.00,         3
12.00,         2149.00,         2436.00,         3
27.00,         1973.00,         15.00,         2
58.00,         849.00,         470.00,         2
43.00,         2023.00,         2633.00,         2
16.00,         2018.00,         1025.00,         2
58.00,         815.00,         352.00,         2
61.00,         241.00,         1201.00,         2
62.00,         2038.00,         2915.00,         2
28.00,         749.00,         904.00,         2
26.00,         778.00,         2815.00,         3
5.00,         3599.00,         1642.00,         3
75.00,         2983.00,         614.00,         3
65.00,         2672.00,         491.00,         3
23.00,         2670.00,         303.00,         3
24.00,         3947.00,         1457.00,         3
24.00,         1398.00,         3788.00,         3
27.00,         3468.00,         1026.00,         3
38.00,         2556.00,         3627.00,         3
29.00,         2291.00,         1492.00,         3
62.00,         1864.00,         3034.00,         3
25.00,         3107.00,         471.00,         3
29.00,         3342.00,         3118.00,         3
70.00,         3960.00,         3685.00,         3
47.00,         234.00,         4317.00,         3
64.00,         1010.00,         1989.00,         3
15.00,         4498.00,         2011.00,         3
74.00,         1685.00,         1967.00,         3
65.00,         1541.00,         2426.00,         3
65.00,         118.00,         2114.00,         3
58.00,         3834.00,         1015.00,         3
66.00,         3550.00,         1108.00,         3
32.00,         760.00,         2255.00,         3
28.00,         1597.00,         1546.00,         3
61.00,         1276.00,         1575.00,         3
55.00,         2083.00,         1916.00,         3
11.00,         2853.00,         3177.00,         3
60.00,         3432.00,         3308.00,         3
66.00,         1183.00,         2636.00,         3
14.00,         3511.00,         3755.00,         3
42.00,         174.00,         2524.00,         3
69.00,         2290.00,         2553.00,         3
43.00,         1081.00,         2512.00,         3
66.00,         4472.00,         4245.00,         3
